"","analysis_type","analysis_var","analysis_var_value","group_var","group_var_value","stat","stat_low","stat_upp","n","n_total","n_w","n_w_total","analysis_key"
"4.3","prop_select_one","edu_disrupted_displaced_d",NA,"overall","overall",NA,NA,NA,4646,NA,NA,NA,"prop_select_one @/@ edu_disrupted_displaced_d %/% NA @/@ overall %/% overall"
"5.1","prop_select_one","edu_ind_access_d","0","overall %/% child_gender_d","overall %/% Boys",0.332840715499448,0.31265558384185,0.353025847157046,2344,6426,2176.69749832575,6539.75729820036,"prop_select_one @/@ edu_ind_access_d %/% 0 @/@ overall %/% overall -/- child_gender_d %/% Boys"
"5.2","prop_select_one","edu_ind_access_d","1","overall %/% child_gender_d","overall %/% Boys",0.667159284500552,0.646974152842954,0.687344416158149,4082,6426,4363.05979987461,6539.75729820036,"prop_select_one @/@ edu_ind_access_d %/% 1 @/@ overall %/% overall -/- child_gender_d %/% Boys"
"5.3","prop_select_one","edu_ind_access_d","0","overall %/% child_gender_d","overall %/% Girls",0.337863779126551,0.317121952000631,0.358605606252471,2275,6136,2039.10481242894,6035.28681796095,"prop_select_one @/@ edu_ind_access_d %/% 0 @/@ overall %/% overall -/- child_gender_d %/% Girls"
"5.4","prop_select_one","edu_ind_access_d","1","overall %/% child_gender_d","overall %/% Girls",0.662136220873449,0.641394393747529,0.68287804799937,3861,6136,3996.18200553201,6035.28681796095,"prop_select_one @/@ edu_ind_access_d %/% 1 @/@ overall %/% overall -/- child_gender_d %/% Girls"
"6.1","prop_select_one","edu_disrupted_teacher_d","0","overall %/% child_gender_d","overall %/% Boys",0.923938786259781,0.913957170105216,0.933920402414347,3547,4068,4018.46139149062,4349.27232328653,"prop_select_one @/@ edu_disrupted_teacher_d %/% 0 @/@ overall %/% overall -/- child_gender_d %/% Boys"
"6.2","prop_select_one","edu_disrupted_teacher_d","1","overall %/% child_gender_d","overall %/% Boys",0.0760612137402185,0.0660795975856527,0.0860428298947843,521,4068,330.810931795914,4349.27232328653,"prop_select_one @/@ edu_disrupted_teacher_d %/% 1 @/@ overall %/% overall -/- child_gender_d %/% Boys"
"6.3","prop_select_one","edu_disrupted_teacher_d",NA,"overall %/% child_gender_d","overall %/% Boys",NA,NA,NA,2358,NA,NA,NA,"prop_select_one @/@ edu_disrupted_teacher_d %/% NA @/@ overall %/% overall -/- child_gender_d %/% Boys"
"6.4","prop_select_one","edu_disrupted_teacher_d","0","overall %/% child_gender_d","overall %/% Girls",0.925617858505987,0.915836474278396,0.935399242733577,3362,3853,3685.17429620939,3981.31287371391,"prop_select_one @/@ edu_disrupted_teacher_d %/% 0 @/@ overall %/% overall -/- child_gender_d %/% Girls"
"6.5","prop_select_one","edu_disrupted_teacher_d","1","overall %/% child_gender_d","overall %/% Girls",0.0743821414940134,0.0646007572664231,0.0841635257216038,491,3853,296.138577504525,3981.31287371391,"prop_select_one @/@ edu_disrupted_teacher_d %/% 1 @/@ overall %/% overall -/- child_gender_d %/% Girls"
"6.6","prop_select_one","edu_disrupted_teacher_d",NA,"overall %/% child_gender_d","overall %/% Girls",NA,NA,NA,2283,NA,NA,NA,"prop_select_one @/@ edu_disrupted_teacher_d %/% NA @/@ overall %/% overall -/- child_gender_d %/% Girls"
"7.1","prop_select_one","edu_disrupted_hazards_d","0","overall %/% child_gender_d","overall %/% Boys",0.94077103035685,0.927773092531903,0.953768968181796,3792,4074,4101.12016186921,4359.31808010031,"prop_select_one @/@ edu_disrupted_hazards_d %/% 0 @/@ overall %/% overall -/- child_gender_d %/% Boys"
"7.2","prop_select_one","edu_disrupted_hazards_d","1","overall %/% child_gender_d","overall %/% Boys",0.0592289696431503,0.0462310318182041,0.0722269074680965,282,4074,258.197918231098,4359.31808010031,"prop_select_one @/@ edu_disrupted_hazards_d %/% 1 @/@ overall %/% overall -/- child_gender_d %/% Boys"
"7.3","prop_select_one","edu_disrupted_hazards_d",NA,"overall %/% child_gender_d","overall %/% Boys",NA,NA,NA,2352,NA,NA,NA,"prop_select_one @/@ edu_disrupted_hazards_d %/% NA @/@ overall %/% overall -/- child_gender_d %/% Boys"
"7.4","prop_select_one","edu_disrupted_hazards_d","0","overall %/% child_gender_d","overall %/% Girls",0.944070152489102,0.932316961447375,0.955823343530829,3582,3856,3769.1620347768,3992.45969681296,"prop_select_one @/@ edu_disrupted_hazards_d %/% 0 @/@ overall %/% overall -/- child_gender_d %/% Girls"
"7.5","prop_select_one","edu_disrupted_hazards_d","1","overall %/% child_gender_d","overall %/% Girls",0.055929847510898,0.0441766564691713,0.0676830385526247,274,3856,223.297662036155,3992.45969681296,"prop_select_one @/@ edu_disrupted_hazards_d %/% 1 @/@ overall %/% overall -/- child_gender_d %/% Girls"
"7.6","prop_select_one","edu_disrupted_hazards_d",NA,"overall %/% child_gender_d","overall %/% Girls",NA,NA,NA,2280,NA,NA,NA,"prop_select_one @/@ edu_disrupted_hazards_d %/% NA @/@ overall %/% overall -/- child_gender_d %/% Girls"
"8.1","prop_select_one","edu_disrupted_displaced_d","0","overall %/% child_gender_d","overall %/% Boys",0.986010935543352,0.977851677552655,0.99417019353405,4021,4069,4294.40637080146,4355.33341061271,"prop_select_one @/@ edu_disrupted_displaced_d %/% 0 @/@ overall %/% overall -/- child_gender_d %/% Boys"
"8.2","prop_select_one","edu_disrupted_displaced_d","1","overall %/% child_gender_d","overall %/% Boys",0.0139890644566478,0.00582980646595042,0.0221483224473451,48,4069,60.9270398112527,4355.33341061271,"prop_select_one @/@ edu_disrupted_displaced_d %/% 1 @/@ overall %/% overall -/- child_gender_d %/% Boys"
"8.3","prop_select_one","edu_disrupted_displaced_d",NA,"overall %/% child_gender_d","overall %/% Boys",NA,NA,NA,2357,NA,NA,NA,"prop_select_one @/@ edu_disrupted_displaced_d %/% NA @/@ overall %/% overall -/- child_gender_d %/% Boys"
"8.4","prop_select_one","edu_disrupted_displaced_d","0","overall %/% child_gender_d","overall %/% Girls",0.990269423993529,0.984630209161636,0.995908638825421,3803,3847,3950.50779171708,3989.32623385017,"prop_select_one @/@ edu_disrupted_displaced_d %/% 0 @/@ overall %/% overall -/- child_gender_d %/% Girls"
"8.5","prop_select_one","edu_disrupted_displaced_d","1","overall %/% child_gender_d","overall %/% Girls",0.00973057600647142,0.00409136117457884,0.015369790838364,44,3847,38.8184421330895,3989.32623385017,"prop_select_one @/@ edu_disrupted_displaced_d %/% 1 @/@ overall %/% overall -/- child_gender_d %/% Girls"
"8.6","prop_select_one","edu_disrupted_displaced_d",NA,"overall %/% child_gender_d","overall %/% Girls",NA,NA,NA,2289,NA,NA,NA,"prop_select_one @/@ edu_disrupted_displaced_d %/% NA @/@ overall %/% overall -/- child_gender_d %/% Girls"
"9.1","prop_select_one","edu_ind_access_d","0","edu_school_cycle_d","ECE – 5 years old",0.518957489177197,0.465270832487987,0.572644145866407,520,1065,506.15524777031,975.330847566754,"prop_select_one @/@ edu_ind_access_d %/% 0 @/@ edu_school_cycle_d %/% ECE – 5 years old"
"9.2","prop_select_one","edu_ind_access_d","1","edu_school_cycle_d","ECE – 5 years old",0.481042510822803,0.427355854133594,0.534729167512013,545,1065,469.175599796444,975.330847566754,"prop_select_one @/@ edu_ind_access_d %/% 1 @/@ edu_school_cycle_d %/% ECE – 5 years old"
"9.3","prop_select_one","edu_ind_access_d","0","edu_school_cycle_d","lower secondary – 12 to 14 years old",0.403762749977521,0.372587655753285,0.434937844201758,1283,2865,1180.70909571051,2924.26454836719,"prop_select_one @/@ edu_ind_access_d %/% 0 @/@ edu_school_cycle_d %/% lower secondary – 12 to 14 years old"
"9.4","prop_select_one","edu_ind_access_d","1","edu_school_cycle_d","lower secondary – 12 to 14 years old",0.596237250022479,0.565062155798242,0.627412344246715,1582,2865,1743.55545265668,2924.26454836719,"prop_select_one @/@ edu_ind_access_d %/% 1 @/@ edu_school_cycle_d %/% lower secondary – 12 to 14 years old"
"9.5","prop_select_one","edu_ind_access_d","0","edu_school_cycle_d","primary – 6 to 11 years old",0.168786398480194,0.153889518299263,0.183683278661124,1312,6423,1099.78757690528,6515.85427977676,"prop_select_one @/@ edu_ind_access_d %/% 0 @/@ edu_school_cycle_d %/% primary – 6 to 11 years old"
"9.6","prop_select_one","edu_ind_access_d","1","edu_school_cycle_d","primary – 6 to 11 years old",0.831213601519806,0.816316721338876,0.846110481700737,5111,6423,5416.06670287148,6515.85427977676,"prop_select_one @/@ edu_ind_access_d %/% 1 @/@ edu_school_cycle_d %/% primary – 6 to 11 years old"
"9.7","prop_select_one","edu_ind_access_d","0","edu_school_cycle_d","upper secondary – 15 to 17 years old",0.661767952167165,0.626746939261696,0.696788965072634,1504,2209,1429.15039036859,2159.59444045061,"prop_select_one @/@ edu_ind_access_d %/% 0 @/@ edu_school_cycle_d %/% upper secondary – 15 to 17 years old"
"9.8","prop_select_one","edu_ind_access_d","1","edu_school_cycle_d","upper secondary – 15 to 17 years old",0.338232047832835,0.303211034927366,0.373253060738304,705,2209,730.444050082015,2159.59444045061,"prop_select_one @/@ edu_ind_access_d %/% 1 @/@ edu_school_cycle_d %/% upper secondary – 15 to 17 years old"
"10.1","prop_select_one","edu_disrupted_teacher_d","0","edu_school_cycle_d","ECE – 5 years old",0.910530354443944,0.885160389810046,0.935900319077842,466,545,427.198625179106,469.175599796444,"prop_select_one @/@ edu_disrupted_teacher_d %/% 0 @/@ edu_school_cycle_d %/% ECE – 5 years old"
"10.2","prop_select_one","edu_disrupted_teacher_d","1","edu_school_cycle_d","ECE – 5 years old",0.0894696455560559,0.0640996809221579,0.114839610189954,79,545,41.9769746173378,469.175599796444,"prop_select_one @/@ edu_disrupted_teacher_d %/% 1 @/@ edu_school_cycle_d %/% ECE – 5 years old"
"10.3","prop_select_one","edu_disrupted_teacher_d",NA,"edu_school_cycle_d","ECE – 5 years old",NA,NA,NA,520,NA,NA,NA,"prop_select_one @/@ edu_disrupted_teacher_d %/% NA @/@ edu_school_cycle_d %/% ECE – 5 years old"
"10.4","prop_select_one","edu_disrupted_teacher_d","0","edu_school_cycle_d","lower secondary – 12 to 14 years old",0.936594797569477,0.920490676171538,0.952698918967415,1420,1578,1616.39451638284,1725.82051552869,"prop_select_one @/@ edu_disrupted_teacher_d %/% 0 @/@ edu_school_cycle_d %/% lower secondary – 12 to 14 years old"
"10.5","prop_select_one","edu_disrupted_teacher_d","1","edu_school_cycle_d","lower secondary – 12 to 14 years old",0.0634052024305234,0.047301081032585,0.0795093238284618,158,1578,109.425999145847,1725.82051552869,"prop_select_one @/@ edu_disrupted_teacher_d %/% 1 @/@ edu_school_cycle_d %/% lower secondary – 12 to 14 years old"
"10.6","prop_select_one","edu_disrupted_teacher_d",NA,"edu_school_cycle_d","lower secondary – 12 to 14 years old",NA,NA,NA,1287,NA,NA,NA,"prop_select_one @/@ edu_disrupted_teacher_d %/% NA @/@ edu_school_cycle_d %/% lower secondary – 12 to 14 years old"
"10.7","prop_select_one","edu_disrupted_teacher_d","0","edu_school_cycle_d","primary – 6 to 11 years old",0.921780669836124,0.913118500216957,0.930442839455292,4405,5100,4987.27268377064,5410.47653413831,"prop_select_one @/@ edu_disrupted_teacher_d %/% 0 @/@ edu_school_cycle_d %/% primary – 6 to 11 years old"
"10.8","prop_select_one","edu_disrupted_teacher_d","1","edu_school_cycle_d","primary – 6 to 11 years old",0.0782193301638757,0.0695571605447078,0.0868814997830435,695,5100,423.203850367666,5410.47653413831,"prop_select_one @/@ edu_disrupted_teacher_d %/% 1 @/@ edu_school_cycle_d %/% primary – 6 to 11 years old"
"10.9","prop_select_one","edu_disrupted_teacher_d",NA,"edu_school_cycle_d","primary – 6 to 11 years old",NA,NA,NA,1323,NA,NA,NA,"prop_select_one @/@ edu_disrupted_teacher_d %/% NA @/@ edu_school_cycle_d %/% primary – 6 to 11 years old"
"10.10","prop_select_one","edu_disrupted_teacher_d","0","edu_school_cycle_d","upper secondary – 15 to 17 years old",0.927814398816596,0.904123471737337,0.951505325895855,618,698,672.769862367414,725.112547537003,"prop_select_one @/@ edu_disrupted_teacher_d %/% 0 @/@ edu_school_cycle_d %/% upper secondary – 15 to 17 years old"
"10.11","prop_select_one","edu_disrupted_teacher_d","1","edu_school_cycle_d","upper secondary – 15 to 17 years old",0.0721856011834045,0.0484946741041455,0.0958765282626636,80,698,52.3426851695885,725.112547537003,"prop_select_one @/@ edu_disrupted_teacher_d %/% 1 @/@ edu_school_cycle_d %/% upper secondary – 15 to 17 years old"
"10.12","prop_select_one","edu_disrupted_teacher_d",NA,"edu_school_cycle_d","upper secondary – 15 to 17 years old",NA,NA,NA,1511,NA,NA,NA,"prop_select_one @/@ edu_disrupted_teacher_d %/% NA @/@ edu_school_cycle_d %/% upper secondary – 15 to 17 years old"
"11.1","prop_select_one","edu_disrupted_hazards_d","0","edu_school_cycle_d","ECE – 5 years old",0.942361005842846,0.919499811965703,0.96522219971999,505,545,442.132790141098,469.175599796444,"prop_select_one @/@ edu_disrupted_hazards_d %/% 0 @/@ edu_school_cycle_d %/% ECE – 5 years old"
"11.2","prop_select_one","edu_disrupted_hazards_d","1","edu_school_cycle_d","ECE – 5 years old",0.0576389941571536,0.0347778002800101,0.0805001880342971,40,545,27.0428096553463,469.175599796444,"prop_select_one @/@ edu_disrupted_hazards_d %/% 1 @/@ edu_school_cycle_d %/% ECE – 5 years old"
"11.3","prop_select_one","edu_disrupted_hazards_d",NA,"edu_school_cycle_d","ECE – 5 years old",NA,NA,NA,520,NA,NA,NA,"prop_select_one @/@ edu_disrupted_hazards_d %/% NA @/@ edu_school_cycle_d %/% ECE – 5 years old"
"11.4","prop_select_one","edu_disrupted_hazards_d","0","edu_school_cycle_d","lower secondary – 12 to 14 years old",0.954961656414155,0.94286772000508,0.96705559282323,1479,1581,1663.88428020165,1742.35716065236,"prop_select_one @/@ edu_disrupted_hazards_d %/% 0 @/@ edu_school_cycle_d %/% lower secondary – 12 to 14 years old"
"11.5","prop_select_one","edu_disrupted_hazards_d","1","edu_school_cycle_d","lower secondary – 12 to 14 years old",0.0450383435858447,0.0329444071767698,0.0571322799949197,102,1581,78.4728804507181,1742.35716065236,"prop_select_one @/@ edu_disrupted_hazards_d %/% 1 @/@ edu_school_cycle_d %/% lower secondary – 12 to 14 years old"
"11.6","prop_select_one","edu_disrupted_hazards_d",NA,"edu_school_cycle_d","lower secondary – 12 to 14 years old",NA,NA,NA,1284,NA,NA,NA,"prop_select_one @/@ edu_disrupted_hazards_d %/% NA @/@ edu_school_cycle_d %/% lower secondary – 12 to 14 years old"
"11.7","prop_select_one","edu_disrupted_hazards_d","0","edu_school_cycle_d","primary – 6 to 11 years old",0.938140396716537,0.925679959497693,0.950600833935382,4733,5103,5076.22534503627,5410.94420707487,"prop_select_one @/@ edu_disrupted_hazards_d %/% 0 @/@ edu_school_cycle_d %/% primary – 6 to 11 years old"
"11.8","prop_select_one","edu_disrupted_hazards_d","1","edu_school_cycle_d","primary – 6 to 11 years old",0.0618596032834625,0.0493991660646182,0.0743200405023067,370,5103,334.718862038601,5410.94420707487,"prop_select_one @/@ edu_disrupted_hazards_d %/% 1 @/@ edu_school_cycle_d %/% primary – 6 to 11 years old"
"11.9","prop_select_one","edu_disrupted_hazards_d",NA,"edu_school_cycle_d","primary – 6 to 11 years old",NA,NA,NA,1320,NA,NA,NA,"prop_select_one @/@ edu_disrupted_hazards_d %/% NA @/@ edu_school_cycle_d %/% primary – 6 to 11 years old"
"11.10","prop_select_one","edu_disrupted_hazards_d","0","edu_school_cycle_d","upper secondary – 15 to 17 years old",0.943423855298993,0.920269922609025,0.96657778798896,657,701,688.039781267006,729.300809389593,"prop_select_one @/@ edu_disrupted_hazards_d %/% 0 @/@ edu_school_cycle_d %/% upper secondary – 15 to 17 years old"
"11.11","prop_select_one","edu_disrupted_hazards_d","1","edu_school_cycle_d","upper secondary – 15 to 17 years old",0.0565761447010073,0.0334222120110399,0.0797300773909747,44,701,41.2610281225873,729.300809389593,"prop_select_one @/@ edu_disrupted_hazards_d %/% 1 @/@ edu_school_cycle_d %/% upper secondary – 15 to 17 years old"
"11.12","prop_select_one","edu_disrupted_hazards_d",NA,"edu_school_cycle_d","upper secondary – 15 to 17 years old",NA,NA,NA,1508,NA,NA,NA,"prop_select_one @/@ edu_disrupted_hazards_d %/% NA @/@ edu_school_cycle_d %/% upper secondary – 15 to 17 years old"
"12.1","prop_select_one","edu_disrupted_displaced_d","0","edu_school_cycle_d","ECE – 5 years old",0.990556229905557,0.982206938154498,0.998905521656616,535,543,464.119283024365,468.544105839015,"prop_select_one @/@ edu_disrupted_displaced_d %/% 0 @/@ edu_school_cycle_d %/% ECE – 5 years old"
"12.2","prop_select_one","edu_disrupted_displaced_d","1","edu_school_cycle_d","ECE – 5 years old",0.00944377009444328,0.00109447834338463,0.0177930618455019,8,543,4.42482281465016,468.544105839015,"prop_select_one @/@ edu_disrupted_displaced_d %/% 1 @/@ edu_school_cycle_d %/% ECE – 5 years old"
"12.3","prop_select_one","edu_disrupted_displaced_d",NA,"edu_school_cycle_d","ECE – 5 years old",NA,NA,NA,522,NA,NA,NA,"prop_select_one @/@ edu_disrupted_displaced_d %/% NA @/@ edu_school_cycle_d %/% ECE – 5 years old"
"12.4","prop_select_one","edu_disrupted_displaced_d","0","edu_school_cycle_d","lower secondary – 12 to 14 years old",0.988543251586163,0.979216035644289,0.997870467528036,1558,1577,1720.7553460376,1740.6980860742,"prop_select_one @/@ edu_disrupted_displaced_d %/% 0 @/@ edu_school_cycle_d %/% lower secondary – 12 to 14 years old"
"12.5","prop_select_one","edu_disrupted_displaced_d","1","edu_school_cycle_d","lower secondary – 12 to 14 years old",0.0114567484138372,0.00212953247196365,0.0207839643557108,19,1577,19.9427400366,1740.6980860742,"prop_select_one @/@ edu_disrupted_displaced_d %/% 1 @/@ edu_school_cycle_d %/% lower secondary – 12 to 14 years old"
"12.6","prop_select_one","edu_disrupted_displaced_d",NA,"edu_school_cycle_d","lower secondary – 12 to 14 years old",NA,NA,NA,1288,NA,NA,NA,"prop_select_one @/@ edu_disrupted_displaced_d %/% NA @/@ edu_school_cycle_d %/% lower secondary – 12 to 14 years old"
"12.7","prop_select_one","edu_disrupted_displaced_d","0","edu_school_cycle_d","primary – 6 to 11 years old",0.988510568264887,0.981946705326859,0.995074431202915,5038,5095,5344.62840069146,5406.7488727741,"prop_select_one @/@ edu_disrupted_displaced_d %/% 0 @/@ edu_school_cycle_d %/% primary – 6 to 11 years old"
"12.8","prop_select_one","edu_disrupted_displaced_d","1","edu_school_cycle_d","primary – 6 to 11 years old",0.0114894317351128,0.004925568797085,0.0180532946731406,57,5095,62.1204720826361,5406.7488727741,"prop_select_one @/@ edu_disrupted_displaced_d %/% 1 @/@ edu_school_cycle_d %/% primary – 6 to 11 years old"
"12.9","prop_select_one","edu_disrupted_displaced_d",NA,"edu_school_cycle_d","primary – 6 to 11 years old",NA,NA,NA,1328,NA,NA,NA,"prop_select_one @/@ edu_disrupted_displaced_d %/% NA @/@ edu_school_cycle_d %/% primary – 6 to 11 years old"
"12.10","prop_select_one","edu_disrupted_displaced_d","0","edu_school_cycle_d","upper secondary – 15 to 17 years old",0.981805930187714,0.960911626922298,1.00270023345313,693,701,715.411132765119,728.668579775575,"prop_select_one @/@ edu_disrupted_displaced_d %/% 0 @/@ edu_school_cycle_d %/% upper secondary – 15 to 17 years old"
"12.11","prop_select_one","edu_disrupted_displaced_d","1","edu_school_cycle_d","upper secondary – 15 to 17 years old",0.0181940698122857,-0.0027002334531302,0.0390883730777017,8,701,13.2574470104559,728.668579775575,"prop_select_one @/@ edu_disrupted_displaced_d %/% 1 @/@ edu_school_cycle_d %/% upper secondary – 15 to 17 years old"
"12.12","prop_select_one","edu_disrupted_displaced_d",NA,"edu_school_cycle_d","upper secondary – 15 to 17 years old",NA,NA,NA,1508,NA,NA,NA,"prop_select_one @/@ edu_disrupted_displaced_d %/% NA @/@ edu_school_cycle_d %/% upper secondary – 15 to 17 years old"
"13.1","prop_select_one","edu_ind_access_d","0","edu_school_cycle_d %/% child_gender_d","ECE – 5 years old %/% Boys",0.463356101556446,0.389336057680908,0.537376145431984,267,556,237.767955425741,513.143033246052,"prop_select_one @/@ edu_ind_access_d %/% 0 @/@ edu_school_cycle_d %/% ECE – 5 years old -/- child_gender_d %/% Boys"
"13.2","prop_select_one","edu_ind_access_d","1","edu_school_cycle_d %/% child_gender_d","ECE – 5 years old %/% Boys",0.536643898443554,0.462623854568016,0.610663942319092,289,556,275.375077820312,513.143033246052,"prop_select_one @/@ edu_ind_access_d %/% 1 @/@ edu_school_cycle_d %/% ECE – 5 years old -/- child_gender_d %/% Boys"
"13.3","prop_select_one","edu_ind_access_d","0","edu_school_cycle_d %/% child_gender_d","ECE – 5 years old %/% Girls",0.58068881097402,0.507173705846681,0.654203916101359,253,509,268.38729234457,462.187814320702,"prop_select_one @/@ edu_ind_access_d %/% 0 @/@ edu_school_cycle_d %/% ECE – 5 years old -/- child_gender_d %/% Girls"
"13.4","prop_select_one","edu_ind_access_d","1","edu_school_cycle_d %/% child_gender_d","ECE – 5 years old %/% Girls",0.41931118902598,0.345796083898641,0.492826294153319,256,509,193.800521976132,462.187814320702,"prop_select_one @/@ edu_ind_access_d %/% 1 @/@ edu_school_cycle_d %/% ECE – 5 years old -/- child_gender_d %/% Girls"
"13.5","prop_select_one","edu_ind_access_d","0","edu_school_cycle_d %/% child_gender_d","lower secondary – 12 to 14 years old %/% Boys",0.435288820536056,0.392840865419318,0.477736775652794,674,1480,624.652524489493,1435.03001919561,"prop_select_one @/@ edu_ind_access_d %/% 0 @/@ edu_school_cycle_d %/% lower secondary – 12 to 14 years old -/- child_gender_d %/% Boys"
"13.6","prop_select_one","edu_ind_access_d","1","edu_school_cycle_d %/% child_gender_d","lower secondary – 12 to 14 years old %/% Boys",0.564711179463944,0.522263224347206,0.607159134580682,806,1480,810.377494706122,1435.03001919561,"prop_select_one @/@ edu_ind_access_d %/% 1 @/@ edu_school_cycle_d %/% lower secondary – 12 to 14 years old -/- child_gender_d %/% Boys"
"13.7","prop_select_one","edu_ind_access_d","0","edu_school_cycle_d %/% child_gender_d","lower secondary – 12 to 14 years old %/% Girls",0.373384151608638,0.328660614339149,0.418107688878127,609,1385,556.056571221019,1489.23452917158,"prop_select_one @/@ edu_ind_access_d %/% 0 @/@ edu_school_cycle_d %/% lower secondary – 12 to 14 years old -/- child_gender_d %/% Girls"
"13.8","prop_select_one","edu_ind_access_d","1","edu_school_cycle_d %/% child_gender_d","lower secondary – 12 to 14 years old %/% Girls",0.626615848391362,0.581892311121873,0.67133938566085,776,1385,933.177957950558,1489.23452917158,"prop_select_one @/@ edu_ind_access_d %/% 1 @/@ edu_school_cycle_d %/% lower secondary – 12 to 14 years old -/- child_gender_d %/% Girls"
"13.9","prop_select_one","edu_ind_access_d","0","edu_school_cycle_d %/% child_gender_d","primary – 6 to 11 years old %/% Boys",0.163130611876675,0.14160700395143,0.18465421980192,632,3279,568.138231143093,3482.71991753822,"prop_select_one @/@ edu_ind_access_d %/% 0 @/@ edu_school_cycle_d %/% primary – 6 to 11 years old -/- child_gender_d %/% Boys"
"13.10","prop_select_one","edu_ind_access_d","1","edu_school_cycle_d %/% child_gender_d","primary – 6 to 11 years old %/% Boys",0.836869388123325,0.81534578019808,0.85839299604857,2647,3279,2914.58168639513,3482.71991753822,"prop_select_one @/@ edu_ind_access_d %/% 1 @/@ edu_school_cycle_d %/% primary – 6 to 11 years old -/- child_gender_d %/% Boys"
"13.11","prop_select_one","edu_ind_access_d","0","edu_school_cycle_d %/% child_gender_d","primary – 6 to 11 years old %/% Girls",0.175280512588242,0.154929702417475,0.195631322759009,680,3144,531.649345762183,3033.13436223854,"prop_select_one @/@ edu_ind_access_d %/% 0 @/@ edu_school_cycle_d %/% primary – 6 to 11 years old -/- child_gender_d %/% Girls"
"13.12","prop_select_one","edu_ind_access_d","1","edu_school_cycle_d %/% child_gender_d","primary – 6 to 11 years old %/% Girls",0.824719487411758,0.804368677240991,0.845070297582525,2464,3144,2501.48501647636,3033.13436223854,"prop_select_one @/@ edu_ind_access_d %/% 1 @/@ edu_school_cycle_d %/% primary – 6 to 11 years old -/- child_gender_d %/% Girls"
"13.13","prop_select_one","edu_ind_access_d","0","edu_school_cycle_d %/% child_gender_d","upper secondary – 15 to 17 years old %/% Boys",0.672885553514773,0.622104935343227,0.72366617168632,771,1111,746.138787267422,1108.86432822048,"prop_select_one @/@ edu_ind_access_d %/% 0 @/@ edu_school_cycle_d %/% upper secondary – 15 to 17 years old -/- child_gender_d %/% Boys"
"13.14","prop_select_one","edu_ind_access_d","1","edu_school_cycle_d %/% child_gender_d","upper secondary – 15 to 17 years old %/% Boys",0.327114446485226,0.27633382831368,0.377895064656773,340,1111,362.725540953053,1108.86432822048,"prop_select_one @/@ edu_ind_access_d %/% 1 @/@ edu_school_cycle_d %/% upper secondary – 15 to 17 years old -/- child_gender_d %/% Boys"
"13.15","prop_select_one","edu_ind_access_d","0","edu_school_cycle_d %/% child_gender_d","upper secondary – 15 to 17 years old %/% Girls",0.650035242305473,0.601842793658818,0.698227690952129,733,1098,683.011603101172,1050.73011223013,"prop_select_one @/@ edu_ind_access_d %/% 0 @/@ edu_school_cycle_d %/% upper secondary – 15 to 17 years old -/- child_gender_d %/% Girls"
